Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20002002","2000-2002","%","94","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20012003","2001-2003","%","94","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20022004","2002-2004","%","95","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20032005","2003-2005","%","96","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20042006","2004-2006","%","96","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20052007","2005-2007","%","97","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20062008","2006-2008","%","98","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20072009","2007-2009","%","99","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20082010","2008-2010","%","101","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20092011","2009-2011","%","102","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20102012","2010-2012","%","103","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20112013","2011-2013","%","103","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20122014","2012-2014","%","102","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20132015","2013-2015","%","102","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20142016","2014-2016","%","101","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20152017","2015-2017","%","101","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20162018","2016-2018","%","101","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20172019","2017-2019","%","101","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20182020","2018-2020","%","102","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20192021","2019-2021","%","102","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20202022","2020-2022","%","102","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6121","Value","21010","Average dietary energy supply adequacy (percent) (3-year average)","20212023","2021-2023","%","102","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2000","2000","kcal/cap/d","2080","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2001","2001","kcal/cap/d","2091","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2002","2002","kcal/cap/d","2115","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2003","2003","kcal/cap/d","2138","E","Estimated value",""
"FS","Suite of Food Security Indicators","904","Low-income economies","6128","Value","220001","Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day)","2004","2004","kcal/cap/d","2143","E","Estimated value",""
